SPPAS	IPA	sound.type
p	p	unasp.stop
p_h	pʰ	asp.stop
t	t	unasp.stop
t_h	tʰ	asp.stop
k	k	unasp.stop
k_h	kʰ	asp.stop
k_w	kʷ	unasp.stop
k_h_w	kʷʰ	asp.stop
b	b	vcd.stop
d	d	vcd.stop
g	g	vcd.stop
?	ʔ	unasp.stop
f	f	fric
s	s	fric
z	s	fric
S	ɕ	fric
s`	ʂ	fric
z`	ʐ	fric
Z	ʑ	fric
ss	ɕ	fric
zz	ʑ	fric
x	x	fric
h	h	fric
v	v	fric
T	θ	fric
D	ð	fric
r	r	trill
4	ɾ	flap
m	m	nas
n	n	nas
N	ŋ	nas
J	ɲ	nas
l	l	approx
j	j	approx
w	w	approx
r\	ɹ	approx
r	ɹ	approx
E:	ɛ	vowel
E	ɛ	vowel
e	e	vowel
e:	e	vowel
a:	aː	vowel
a	aː	vowel
9:	œ	vowel
9	œ	vowel
O:	ɔ	vowel
O	ɔ	vowel
o	o	vowel
o:	o	vowel
e	e	vowel
8	ɵ	vowel
i:	i	vowel
i	i	vowel
u:	u	vowel
u	u	vowel
y:	y	vowel
y	y	vowel
6	ɐ	vowel
I	ɪ	vowel
U	ʊ	vowel
@	ə	vowel
{	æ	vowel
M	ɯ	vowel
3	ɜ	vowel
1:	ɨ	vowel
7:	ɤ	vowel
V	ʌ	vowel
A	ɑ	vowel
ts	ts	unasp.affric
ts_h	tsʰ	asp.affric
dz	dz	voiced.affric
tS	tɕ	unasp.affric
tS_h	tɕʰ	asp.affric
dZ	dʑ	voiced.affric
ts`	tʂ	unasp.affric
ts`_h	tʂʰ	asp.affric
tss	tɕ	unasp.affric
ts_hs	tɕʰ	asp.affric
